date,lat,lon,alt,value
1991-06-03,53.33,9.9,10,  
1991-06-10,53.33,9.9,10,358.95
1991-06-10,53.33,9.9,10,358.97
1991-06-17,53.33,9.9,10,  
1991-06-17,53.33,9.9,10,  
1991-06-20,53.33,9.9,10,353.34
1991-06-20,53.33,9.9,10,353.43
1991-06-25,53.33,9.9,10,355.67
1991-06-25,53.33,9.9,10,355.64
1991-07-01,53.33,9.9,10,355.31
1991-07-09,53.33,9.9,10,353.09
1991-07-09,53.33,9.9,10,353.05
1991-07-15,53.33,9.9,10,349.44
1991-07-15,53.33,9.9,10,349.38
1991-07-23,53.33,9.9,10,350.48
1991-07-31,53.33,9.9,10,  
1991-07-31,53.33,9.9,10,  
1991-08-05,53.33,9.9,10,348.78
1991-08-05,53.33,9.9,10,348.79
1991-08-12,53.33,9.9,10,348.18
1991-08-12,53.33,9.9,10,348.17
1991-08-18,53.33,9.9,10,347.25
1991-08-18,53.33,9.9,10,347.18
1991-08-29,53.33,9.9,10,  
1991-08-29,53.33,9.9,10,  
1991-09-02,53.33,9.9,10,349.74
1991-09-02,53.33,9.9,10,349.73
1991-09-11,53.33,9.9,10,349.85
1991-09-16,53.33,9.9,10,348.27
1991-09-16,53.33,9.9,10,348.27
1991-09-23,53.33,9.9,10,352.02
1991-09-23,53.33,9.9,10,351.97
1991-10-01,53.33,9.9,10,350.64
1991-10-01,53.33,9.9,10,350.62
1991-10-07,53.33,9.9,10,351.08
1991-10-07,53.33,9.9,10,351.07
1991-10-14,53.33,9.9,10,352.75
1991-10-14,53.33,9.9,10,352.72
1991-10-21,53.33,9.9,10,353.52
1991-10-30,53.33,9.9,10,355.3
1991-10-30,53.33,9.9,10,355.2
1991-11-05,53.33,9.9,10,355.65
1991-11-05,53.33,9.9,10,355.62
1991-11-12,53.33,9.9,10,356.89
1991-11-12,53.33,9.9,10,356.73
1991-11-21,53.33,9.9,10,358.71
1991-11-21,53.33,9.9,10,358.55
1991-11-27,53.33,9.9,10,356.82
1991-11-27,53.33,9.9,10,356.82
1991-12-05,53.33,9.9,10,  
1991-12-05,53.33,9.9,10,  
1991-12-14,53.33,9.9,10,  
1991-12-14,53.33,9.9,10,  
1991-12-17,53.33,9.9,10,359.95
1991-12-17,53.33,9.9,10,359.86
1991-12-23,53.33,9.9,10,358.58
1991-12-23,53.33,9.9,10,358.45
1991-12-31,53.33,9.9,10,359.08
1991-12-31,53.33,9.9,10,358.98
1992-01-06,53.33,9.9,10,358.12
1992-01-06,53.33,9.9,10,357.91
1992-01-15,53.33,9.9,10,  
1992-01-24,53.33,9.9,10,363.25
1992-01-24,53.33,9.9,10,363.24
1992-01-31,53.33,9.9,10,  
1992-01-31,53.33,9.9,10,  
1992-02-03,53.33,9.9,10,358.95
1992-02-03,53.33,9.9,10,358.93
1992-02-10,53.33,9.9,10,359.49
1992-02-10,53.33,9.9,10,359.45
1992-02-18,53.33,9.9,10,360.11
1992-02-18,53.33,9.9,10,360.26
1992-02-26,53.33,9.9,10,360.65
1992-02-26,53.33,9.9,10,360.62
1992-03-05,53.33,9.9,10,359.65
1992-03-05,53.33,9.9,10,359.62
1992-03-09,53.33,9.9,10,360.32
1992-03-09,53.33,9.9,10,360.3
1992-03-16,53.33,9.9,10,358.86
1992-03-16,53.33,9.9,10,358.84
1992-03-25,53.33,9.9,10,359.07
1992-03-25,53.33,9.9,10,359.07
1992-04-02,53.33,9.9,10,361.91
1992-04-02,53.33,9.9,10,361.91
1992-04-09,53.33,9.9,10,362.69
1992-04-13,53.33,9.9,10,362.56
1992-04-23,53.33,9.9,10,361.11
1992-04-23,53.33,9.9,10,361.07
1992-04-29,53.33,9.9,10,362.17
1992-05-03,53.33,9.9,10,359.91
1992-05-03,53.33,9.9,10,360.15
1992-05-11,53.33,9.9,10,360.92
1992-05-11,53.33,9.9,10,360.9
1992-05-20,53.33,9.9,10,359.83
1992-05-20,53.33,9.9,10,359.86
1992-06-03,53.33,9.9,10,359.19
1992-06-03,53.33,9.9,10,359.18
1992-06-10,53.33,9.9,10,359.84
1992-06-10,53.33,9.9,10,359.88
1992-06-14,53.33,9.9,10,357.9
1992-06-22,53.33,9.9,10,355.13
1992-06-22,53.33,9.9,10,355.11
1992-07-01,53.33,9.9,10,359.04
1992-07-01,53.33,9.9,10,358.86
